Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish,schinese
buffGlassPumpkinJuiceSmoothieDesc,buffs,Buff,New,"Blend Up Some Yucca Fruit Juice and Pumpkin Juice and Place Into a Freezer. This Will Get You the Amazing Pumpkin Juice Smoothie. \n:> Hyperthermal Resistance Is Increased 50%.",,,,,,”混合一些尤卡果汁和南瓜汁，并放置在冰箱.这会给你带来神奇的南瓜汁.\n：>高热阻力增加50%.“
buffGlassBlueberryJuiceSmoothieName,buffs,Buff,New,"Blueberry Juice Smoothie",,,,,,”“蓝莓果汁奶昔
buffGlassBlueberryJuiceSmoothieDesc,buffs,Buff,New,"Squeeze Those Blueberries and Yucca Fruit Juice To Make A Blueberry Juice Smoothie After Placed In A Freezer First of Course. \n:> Hyperthermal Resistance Is Increased 40%.",,,,,,“挤压那些蓝莓和丝兰果汁制作蓝莓果汁奶昔后放在冰箱当然第一.\n:>过高热的阻力增加40%.”
buffSuperShamChowderName,buffs,Buff,New,"Super Sham Chowder",,,,,,“超级假杂烩”
buffSuperShamChowderDesc,buffs,Buff,New,"Add Some Super Corn In Your Sham Chowder and It'll Increase Your Fortitude. \n:> Fortitude Attribute Level Is Increase By 2 Instead of One.",,,,,,“添加一些超级玉米在你虚假的杂烩，它会增加你的勇气.\n:>坚韧属性水平是增加2而不是一个.”
buffSuperPumpkinCheesecakeName,buffs,Buff,New,"Super Pumpkin Cheesecake",,,,,,“超级南瓜芝士蛋糕”
buffSuperPumpkinCheesecakeDesc,buffs,Buff,New,"Super Pumpkin Cheesecake Is So Much Better Not Only By Taste but By It's Special Abilities When You Consume It. \n:> Increases Barting Skill Value To 15%.",,,,,,“超级南瓜芝士蛋糕不仅更好味道，而是特殊能力当你吃了.\n:>增加巴特技能价值15%.”
buffWaterStaminaRegen20Name,buffs,Buff,New,"Stamina Regen 20",,,,,,“耐力回复20”
buffWaterStaminaRegen20Desc,buffs,Buff,New,"Your stamina is regenerating slightly faster after drinking.\n:> Stamina Regeneration +20%.",,,,,,“你的耐力是再生酒后稍快.\n:>耐力+ 20%再生.”
buffWaterStaminaRegen25Name,buffs,Buff,New,"Stamina Regen 25",,,,,,“耐力回复25”
buffWaterStaminaRegen25Desc,buffs,Buff,New,"Your stamina is regenerating decently faster after drinking.\n:> Stamina Regeneration +25%.",,,,,,“你的耐力是再生体面酒后更快.\n:>耐力+ 25%再生.”
buffWaterStaminaRegen30Name,buffs,Buff,New,"Stamina Regen 30",,,,,,“耐力回复30”
buffWaterStaminaRegen30Desc,buffs,Buff,New,"Your stamina is regenerating increasingly faster after drinking.\n:> Stamina Regeneration +30%.",,,,,,“你耐力酒后再生越来越快.\n:>耐力+ 30%再生.”
buffWaterStaminaRegen35Name,buffs,Buff,New,"Stamina Regen 35",,,,,,“耐力回复35”
buffWaterStaminaRegen35Desc,buffs,Buff,New,"Your stamina is regenerating largely faster after drinking.\n:> Stamina Regeneration +35%.",,,,,,“你的耐力是再生很大程度上酒后更快.\n:>耐力+ 35%再生.”
buffWaterStaminaRegen40Name,buffs,Buff,New,"Stamina Regen 40",,,,,,“耐力回复40”
buffWaterStaminaRegen40Desc,buffs,Buff,New,"Your stamina is regenerating hugely faster after drinking.\n:> Stamina Regeneration +40%.",,,,,,“你耐力酒后再生非常快.\n:>耐力+ 40%再生.”
buffWaterStaminaRegen45Name,buffs,Buff,New,"Stamina Regen 45",,,,,,“耐力回复45”
buffWaterStaminaRegen45Desc,buffs,Buff,New,"Your stamina is regenerating greatly faster after drinking.\n:> Stamina Regeneration +45%.",,,,,,“你耐力酒后再生大大快.\n:>耐力+ 45%再生.”
buffWaterStaminaRegen50Name,buffs,Buff,New,"Stamina Regen 50",,,,,,“耐力回复50”
buffWaterStaminaRegen50Desc,buffs,Buff,New,"Your stamina is regenerating majorly faster after drinking.\n:> Stamina Regeneration +50%.",,,,,,“你的耐力是再生多半酒后更快.\n:>耐力+ 50%再生.”
buffWaterStaminaRegen80Name,buffs,Buff,New,"Stamina Regen 80",,,,,,“耐力回复80”
buffWaterStaminaRegen80Desc,buffs,Buff,New,"Your stamina is regenerating exponentially faster after drinking.\n:> Stamina Regeneration +80%.",,,,,,“你耐力酒后再生指数级的速度.\n:>耐力+ 80%再生.”
buffOopsWastedPotionName,buffs,Buff,New,"You Just Wasted A Potion",,,,,,“你只是浪费了一个药水”
buffOopsWastedPotionDesc,buffs,Buff,New,"You cannot stack with original potions. \n Wait until your original potion expires before consuming surperior potions and vice versa. \n Duh, did you think I will let you exploit this ability, Dumbass? NO!",,,,,,“你不能和原来的药水叠加.\n在你的原药过期后再食用劣药，反之亦然.你以为我会让你利用这个能力吗，笨蛋？ 不！ “
